ZipCode,Time,Value
60616,2014-04-01,324000.0
60622,2014-04-01,606100.0
60615,2014-04-01,412000.0
60641,2014-04-01,220900.0
60660,2014-04-01,424700.0
60608,2014-04-01,172900.0
60657,2014-05-01,883300.0
60614,2014-05-01,1160100.0
60640,2014-05-01,602900.0
60647,2014-05-01,331100.0
60618,2014-05-01,370700.0
60613,2014-05-01,832600.0
60629,2014-05-01,120500.0
60625,2014-05-01,383300.0
60619,2014-05-01,109900.0
60610,2014-05-01,921100.0
60620,2014-05-01,96500.0
60634,2014-05-01,215900.0
60626,2014-05-01,353600.0
60649,2014-05-01,148600.0
60616,2014-05-01,325300.0
60622,2014-05-01,611100.0
60615,2014-05-01,414000.0
60641,2014-05-01,223400.0
60660,2014-05-01,433000.0
60608,2014-05-01,174700.0
60657,2014-06-01,889500.0
60614,2014-06-01,1163300.0
60640,2014-06-01,614300.0
60647,2014-06-01,334500.0
60618,2014-06-01,373200.0
60613,2014-06-01,835000.0
60629,2014-06-01,121400.0
60625,2014-06-01,386100.0
60619,2014-06-01,111400.0
60610,2014-06-01,915400.0
60620,2014-06-01,97400.0
60634,2014-06-01,218300.0
60626,2014-06-01,358800.0
60649,2014-06-01,151200.0
60616,2014-06-01,326900.0
60622,2014-06-01,614700.0
60615,2014-06-01,417100.0
60641,2014-06-01,225700.0
60660,2014-06-01,442700.0
60608,2014-06-01,175200.0
60657,2014-07-01,892800.0
60614,2014-07-01,1167700.0
60640,2014-07-01,624400.0
60647,2014-07-01,337600.0
60618,2014-07-01,374700.0
60613,2014-07-01,835800.0
60629,2014-07-01,122400.0
60625,2014-07-01,387300.0
60619,2014-07-01,114700.0
60610,2014-07-01,913100.0
60620,2014-07-01,98700.0
60634,2014-07-01,220300.0
60626,2014-07-01,362000.0
60649,2014-07-01,155400.0
60616,2014-07-01,327100.0
60622,2014-07-01,619300.0
60615,2014-07-01,418100.0
60641,2014-07-01,227700.0
60660,2014-07-01,453400.0
60608,2014-07-01,175200.0
60657,2014-08-01,893600.0
60614,2014-08-01,1173900.0
60640,2014-08-01,634700.0
60647,2014-08-01,339200.0
60618,2014-08-01,375500.0
60613,2014-08-01,838600.0
60629,2014-08-01,124000.0
60625,2014-08-01,386600.0
60619,2014-08-01,117900.0
60610,2014-08-01,915600.0
60620,2014-08-01,98000.0
60634,2014-08-01,222200.0
60626,2014-08-01,361500.0
60649,2014-08-01,159200.0
60616,2014-08-01,326300.0
60622,2014-08-01,621500.0
60615,2014-08-01,415800.0
60641,2014-08-01,229900.0
60660,2014-08-01,463000.0
60608,2014-08-01,175700.0
60657,2014-09-01,891300.0
60614,2014-09-01,1175100.0
60640,2014-09-01,644400.0
60647,2014-09-01,340500.0
60618,2014-09-01,375400.0
60613,2014-09-01,840800.0
60629,2014-09-01,125300.0
60625,2014-09-01,386000.0
60619,2014-09-01,118600.0
60610,2014-09-01,921000.0
60620,2014-09-01,96800.0
60634,2014-09-01,223300.0
60626,2014-09-01,360800.0
60649,2014-09-01,160200.0
60616,2014-09-01,324500.0
60622,2014-09-01,620600.0
60615,2014-09-01,413600.0
60641,2014-09-01,231300.0
60660,2014-09-01,470100.0
60608,2014-09-01,176400.0
60657,2014-10-01,889900.0
60614,2014-10-01,1173500.0
60640,2014-10-01,651700.0
60647,2014-10-01,343300.0
60618,2014-10-01,374200.0
60613,2014-10-01,843600.0
60629,2014-10-01,126000.0
60625,2014-10-01,385400.0
60619,2014-10-01,118000.0
60610,2014-10-01,924800.0
60620,2014-10-01,95800.0
60634,2014-10-01,223700.0
60626,2014-10-01,362000.0
60649,2014-10-01,160000.0
60616,2014-10-01,321800.0
60622,2014-10-01,619200.0
60615,2014-10-01,415600.0
60641,2014-10-01,231400.0
60660,2014-10-01,473100.0
60608,2014-10-01,176900.0
60657,2014-11-01,891500.0
60614,2014-11-01,1175500.0
60640,2014-11-01,657600.0
60647,2014-11-01,346200.0
60618,2014-11-01,372900.0
60613,2014-11-01,846900.0
